,0
0,
1,"Sparekassens formål er at drive pengeinstitutvirksomhed samt anden virksomhed, der accessorisk hertil. Sparekassens ønske er desuden at støtte og afholde almennyttige aktiviteter i Sparekassens virkeområde."
2,
3,
4,
5,"Fondens formål er: a) på sømandshjemmet at give såvel danske søfolk og fiskere og deres pårørende som søfarende af alle nationer et godt hjem, ledet i kristen ånd. På sømandshjemmet holdes daglig andagt og derudover møder, oplysende foredrag, underholdningsaftener, julefester og lignende på folkekirkens grund. Ud fra sømandshjemmet aflægges skibsbesøg og hospitalsbesøg, ligesom der søges arrangeret udflugter og idræt, undervisning og underholdning for søfolk og fiskere. Fondens kristelige og sociale opgaver udføres i tilslutning til Indenlandsk Sømandsmission. Fonden kan have beværter- og/eller gæstgivernæring uden ret til udskænkning af stærke drikke b) at yde økonomisk støtte til Indenlandsk Sømandsmission til fremme af sømandsmissionen c) at yde økonomisk støtte til andre sømandshjem (fonde), der drives i tilslutning til Indenlandsk Sømandsmission Støttebeløb ydes i samråd med Indenlandsk Sømandsmissions hovedbestyrelse. Støttebeløb kan ydes enten direkte eller gennem Indenlandsk Sømandsmissions gensidige hjælpepulje; i sidst nævnte tilfælde indbetales ydede støttebeløb til Indenlandsk Sømandsmission"
6,
7,
8,
9,
10,
11,
12,"Selskabets formål er at drive virksomhed med 	energiforsyning, 	kommercielle aktiviteter med tilknytning til energi og kummmunikation samt 	øvrige aktiviteter, hvorved den gennem selskabets virksomhed opbyggede viden og kompetence udnyttes. Selskabets energiforsyningsvirksomhed skal udøves på en driftsikker og effektiv måde med det formål at sikre energiforsyning af kunderne til konkurrencedygtige priser,men tillige således at samfundsøkonomiske og miljømæssige hensyn tilgodeses. Selskabet kan udøve dets virksomhed gennem datterselskaber og ved deltagelse i andre fællesskaber i ind- og udland."
13,
14,
15,"Legatet er stiftet med det formål at understøtte murermestre, der er eller har været medlem af Aarhus Murermesterforening samt enker efter og børn af sådanne Enhver legatnyder må derhos være værdig og trængede"
16,Selskabets formål er at drive handel og produktion.
17,"Selskabets formål er direkte eller indirekte at eje ejerandele i selskaber og koncerner, der udøver forsyningsvirksomhed og aktiviteter med nær tilknytning til forsyningsvirksomhed. Selskabet har endvidere som formål at udøve erhvervsmæssig virksomhed med nær tilknytning til forsyningsvirksomhed inden for de i lovgivningen herom til enhver tid fastsatte rammer. Selskabets virksomhed skal udøves på kommercielle vilkår."
18,
19,
20,
21,Institutionen har til formål at opføre og drive idræts- og samlingscentrer primært for kommunens befolkning.
22,
23,Selskabets formål er at drive virksomhed som holdingselskab.
24,"Selskabets formål er at drive industriel virksomhed ved udvikling, fabrikation, salg, servicering og reparation af produkter karakteriseret ved dampkedler, inerte gas systemer, termaloliekedler, brændere eller styresystemer samt hetil relateret aktiviteter inklusive varmevekslere. Selskabets formål er endvidere at drive virksomhed ved udvikling, fabrikation, salg, servicering og reparation af alle typer rensning- og energianlæg relateret til marine markedet samt at investere kapital i virksomheder af alle nævnte arter samt i fast ejendom."
25,
26,
27,
28,"Selskabets formål er at drive handels- og produktionsvirksomhed samt at foretage investeringer, herunder i andre selskaber."
29,"Fondens formål er at danne ramme om det kirkelige børne- og ungdomsarbejde i Grindsted, herunder K.F.U.M. & K.F.U.K.'s foreningsarbejde, FDF/FPF, K.F.U.M.- og K.F.U.K. spejderne, K.F.U.M.'s idræts- forening, fritidsklub/ungdomsklub m.v"
30,
31,Fondens formål er at bevare og forøge de overdragne samlinger og gøre disse tilgængelige for offentligheden.
32,"Fondens formål er at støtte alemnnyttig teknisk audiologisk eller anden medicinsk forskning, især med henblik på udvikling af tekniske hjælpemidler for totaldøve."
33,
34,
35,
36,
37,
38,
39,"Det er fondens formål ud fra ejendommene matr.nr. 1 bd, 1 dq, 9 c, 1 fd og ejerlejlighed nr. 3 på matr. nr. 1 dp samt eventuel senere erhvervelser at sikre, at der drives plejehjem/plejeboliger, ældrevenlige boliger eller boliger for andre med særlige behov. Endvidere skal fonden sikre, at der stilles fornødne faciliteter til rådighed f.eks. aktivitetscenter,køkken/café, fællessal, optræningsfaciliteter,administration m.v."
40,
41,
42,
43,
44,
45,
46,
47,
48,"Fondens formål er at fremme, støtte og udvikle sundhed, og idræt og lignende almennyttige formål. For at opfylde sine formål vil fonden eje en ejerlejlighed i Nordkraft, som skal anvendes til et multifunktionelt idrætshus. Med henblik på at opfylde sine formål vil fonden udleje og udvikle DGI-huset som idræts- og kulturhus i overensstemmelse med DGI's (Danske Gymnastik- og idrætsforeninger) værdigrundlag. DGI's værdier bygger på et humanistisk menneskesyn og demokratisk medleven, og et idrætssyn der vægter udfordring, sundhed og fællesskab. DGI-huset stilles fortrinsvis til rådighed for idrætten. Fondens midler kan alene anvendes til opfyldelse af de anførte formål i DGI-huset i Nordkraft."
49,
50,
51,
52,
53,
54,
55,"Fondens formål er følgende:  a) at yde økonomisk støtte til idrætslige formål, fortrinsvis gennem Århus Idrætsforening af 1900, atletik- og orienteringsafdelingen,  b) at yde økonomisk støtte til formål, der fremmer folkesundheden,  c) at yde økonomisk støtte til kulturelle formål og andre almentvelgørende formål samt  d) på rimelige rente- og afdragsvilkår at yde lån i fast ejendom, der tjener de under a-c nævnte formål"
56,
57,
58,
